industry,Computers_and_peripheral_equipment,Communication_equipment,Nonelectronic_medical_instruments,Electronic_medical_instruments,Nonmedical_instruments,Photocopy_and_related_equipment,Office_and_accounting_equipment,Nuclear_fuel,Other_fabricated_metal_products,Steam_engines,Internal_combustion_engines,Metalworking_machinery,Special_industrial_machinery,General_industrial_equipment,Electric_transmission_distribution_and_industrial_apparatus,Light_trucks_(including_utility_vehicles),Other_trucks_buses_and_truck_trailers,Autos,Aircraft,Ships_and_boats,Railroad_equipment,Household_furniture,Other_furniture_and_fixtures,Other_agricultural_machinery,Farm_tractors,Other_construction_machinery,Construction_tractors,Mining_and_oilfield_machinery,Service_industry_machinery,Household_appliances,Other_electrical_equipment,Other_nonresidential_equipment,Office_and_medical_buildings,Hospitals_and_special_care_facilities,Warehouses,Mobile_structures,Other_commercial_buildings,Manufacturing_buildings,Electric_power_structures,Wind_and_solar_power_structures,Gas_power_structures,Petroleum_pipelines,Communication_structures,Depreciable_petroleum_and_natural_gas_structures,Depreciable_mining_structures,Religious_buildings,Educational_and_vocational_buildings,Lodging_buildings,Amusement_and_recreation_buildings,Track_replacement,Other_railroad_structures,Other_transportation_structures,Farm_buildings,Water_supply_and_sewer_and_waste_disposal_facilities,Prepackaged_software,Custom_software,Own_account_software,Research_and_development,Theatrical_movies,Long_lived_television_programs,Books,Music,Other_entertainment_originals,Residential_equipment,Residential_buildings
Farms,5,7,5,5,5,5,5,5,5,15,5,5,5,5,15,5,5,5,5,10,7,5,7,5,5,5,5,5,5,5,5,5,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
"Forestry,_Fishing,_and_Related_Activites",5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Oil_and_Gas_Extraction,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,7,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Mining_(Except_Oil_and_Gas),5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Support_Activities_For_Mining,5,7,5,5,5,5,5,5,5,15,5,5,5,5,15,5,5,5,5,5,7,5,7,5,5,5,5,5,5,5,5,5,39,39,39,7,39,39,5,5,5,5,15,5,5,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Hydroelectric_Power_Generation,5,7,20,20,20,5,5,5,20,15,20,20,20,20,15,5,5,5,5,10,7,20,7,20,20,20,20,20,20,20,20,20,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Nuclear_Electric_Power_Generation,5,7,15,15,15,5,5,5,15,15,15,15,15,15,15,5,5,5,5,10,7,15,7,15,15,15,15,15,15,15,15,15,39,39,39,7,39,39,15,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",5,7,20,20,20,5,5,5,20,15,20,20,20,20,15,5,5,5,5,10,7,20,7,20,20,20,20,20,20,20,20,20,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
"Fossil_Fuel_Electric_Power_Generation,_Combustion",5,7,15,15,15,5,5,5,15,15,15,15,15,15,15,5,5,5,5,10,7,15,7,15,15,15,15,15,15,15,15,15,39,39,39,7,39,39,15,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Other_Electric_Power_Generation,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Electric_Power_Transmission_and_Distribution,5,7,20,20,20,5,5,5,20,15,20,20,20,20,20,5,5,5,5,10,7,20,7,20,20,20,20,20,20,20,20,20,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Natural_Gas_Distribution_and_Transmission,5,7,20,20,20,5,5,5,20,15,20,20,20,20,15,5,5,5,5,10,7,20,7,20,20,20,20,20,20,20,20,20,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Water_and_Sewer_Systems,5,7,25,25,25,5,5,5,25,15,25,25,25,25,15,5,5,5,5,10,7,25,7,25,25,25,25,25,25,25,25,25,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Construction,5,7,5,5,5,5,5,5,5,15,5,5,5,5,15,5,5,5,5,10,7,5,7,5,5,5,5,5,5,5,5,5,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",5,7,10,10,10,5,5,5,10,15,10,10,3,10,15,5,5,5,5,10,7,10,7,10,10,10,10,10,10,10,10,10,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Other_Food_Products_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,3,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Beverage_and_Tobacco_Products_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,3,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",5,7,5,5,5,5,5,5,5,15,5,5,5,5,15,5,5,5,5,10,7,5,7,5,5,5,5,5,5,5,5,5,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Other_Textile_and_Textile_Product_Mills,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Apparel_Manufacturing,5,7,5,5,5,5,5,5,5,15,5,5,5,5,15,5,5,5,5,10,7,5,7,5,5,5,5,5,5,5,5,5,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Leather_and_Allied_Products_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Wood_Product_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Paper_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Printing_and_Related_Support_Activities,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Petroleum_Refining,5,7,10,10,10,5,5,5,10,15,10,10,10,10,15,5,5,5,5,10,7,10,7,10,10,10,10,10,10,10,10,10,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Other_Petroleum_and_Coal_Products_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Chemical_Manufacturing,5,7,5,5,5,5,5,5,5,15,5,5,5,5,15,5,5,5,5,10,7,5,7,5,5,5,5,5,5,5,5,5,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Plastics_and_Rubber_Products_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,3,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Glass_Products_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,3,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Cement_Manufacturing,5,7,15,15,15,5,5,5,15,15,15,15,15,15,15,5,5,5,5,10,7,15,7,15,15,15,15,15,15,15,15,15,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Other_Nonmetalic_Mineral_Products_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Primary_Ferrous_Metal_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Primary_Nonferrous_Metal_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,5,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Fabricated_Metal_Product_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,3,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Machinery_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Computer_and_Electronic_Product_Manufacturing,5,7,5,5,5,5,5,5,5,15,5,5,5,5,15,5,5,5,5,10,7,5,7,5,5,5,5,5,5,5,5,5,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Motor_Vehicle_and_Parts_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,3,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Ships_and_Boats_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,5,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Other_Transportation_Equipment_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
Furniture_and_Related_Products_Manufacturing,5,7,7,7,7,5,5,5,7,15,7,7,7,7,15,5,5,5,5,10,7,7,7,7,7,7,7,7,7,7,7,7,39,39,39,7,39,39,20,5,20,15,15,7,7,39,39,39,39,7,20,39,20,25,3,3,5,5,10,10,10,10,10,5,27.5
